#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.20GHz;34.31;0.9;3240.0;87.5484848485;
1;2;2.20GHz;19.21;0.5;1800.0;97.0117647059;
1;3;2.20GHz;15.83;0.4;1440.0;101.021428571;
1;4;2.20GHz;12.12;0.3;1080.0;108.518181818;
1;5;2.20GHz;10.22;0.3;1080.0;112.044444444;
1;6;2.20GHz;9.28;0.2;719.999999999;118.028571429;
1;7;2.20GHz;9.34;0.3;1080.0;119.2125;
1;8;2.20GHz;8.96;0.2;720.0;124.642857143;
1;9;2.20GHz;8.54;0.3;1080.0;128.142857143;
1;10;2.20GHz;8.31;0.2;720.0;129.5;
1;11;2.20GHz;9.4;0.3;1080.0;123.957142857;
1;12;2.20GHz;9.06;0.2;720.0;125.4;
1;13;2.20GHz;8.8;0.3;1080.0;126.271428571;
1;14;2.20GHz;8.62;0.2;720.0;128.9;
1;15;2.20GHz;8.45;0.3;1080.0;132.142857143;
1;16;2.20GHz;8.49;0.2;719.999999999;127.871428571;
1;17;2.20GHz;8.4;0.3;1080.0;132.971428571;
1;18;2.20GHz;8.42;0.2;720.0;129.685714286;
1;19;2.20GHz;8.35;0.3;1080.0;132.716666667;
1;20;2.20GHz;8.34;0.3;1080.0;134.757142857;
