#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.20GHz;17.34;0.4;1440.0;86.525;
1;2;2.20GHz;16.18;0.4;1440.0;87.42;
1;3;2.20GHz;17.26;0.4;1440.0;86.9;
1;4;2.20GHz;16.24;0.4;1440.0;87.5466666667;
1;5;2.20GHz;16.92;0.4;1440.0;86.93125;
1;6;2.20GHz;16.56;0.4;1440.0;87.22;
1;7;2.20GHz;16.92;0.4;1440.0;86.96;
1;8;2.20GHz;16.8;0.4;1440.0;87.34;
1;9;2.20GHz;17.01;0.4;1440.0;86.9625;
1;10;2.20GHz;17.15;0.4;1440.0;87.0375;
1;11;2.20GHz;17.04;0.4;1440.0;87.26;
1;12;2.20GHz;17.13;0.4;1440.0;87.3933333333;
1;13;2.20GHz;17.51;0.4;1440.0;86.88125;
1;14;2.20GHz;17.36;0.4;1440.0;87.35625;
1;15;2.20GHz;17.65;0.4;1440.0;86.78125;
1;16;2.20GHz;17.28;0.4;1440.0;87.10625;
1;17;2.20GHz;17.82;0.4;1440.0;87.2625;
1;18;2.20GHz;17.92;0.4;1440.0;86.8470588235;
1;19;2.20GHz;17.41;0.4;1440.0;87.4133333333;
1;20;2.20GHz;17.3;0.4;1440.0;87.175;
