#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.20GHz;160.97;3.58;12888.0;80.4981132075;
1;2;2.20GHz;82.48;1.98;7128.0;87.0518518519;
1;3;2.20GHz;59.68;1.49;5364.0;90.425862069;
1;4;2.20GHz;46.28;1.19;4284.0;94.08;
1;5;2.20GHz;38.03;1.0;3600.0;97.45;
1;6;2.20GHz;33.24;0.91;3276.0;99.490625;
1;7;2.20GHz;29.38;0.82;2952.0;102.028571429;
1;8;2.20GHz;26.68;0.74;2664.0;103.352;
1;9;2.20GHz;23.88;0.68;2448.0;106.640909091;
1;10;2.20GHz;21.62;0.63;2268.0;109.32;
1;11;2.20GHz;22.62;0.66;2376.0;108.419047619;
1;12;2.20GHz;21.1;0.64;2304.0;109.345;
1;13;2.20GHz;20.17;0.61;2196.0;110.9;
1;14;2.20GHz;18.99;0.57;2052.0;111.929411765;
1;15;2.20GHz;17.76;0.54;1944.0;113.2;
1;16;2.20GHz;17.11;0.51;1836.0;114.513333333;
1;17;2.20GHz;16.31;0.49;1764.0;115.685714286;
1;18;2.20GHz;15.54;0.48;1728.0;116.978571429;
1;19;2.20GHz;14.82;0.46;1656.0;117.584615385;
1;20;2.20GHz;14.21;0.43;1548.0;119.033333333;
