#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.20GHz;11.36;0.25;900.0;83.63;
1;2;2.20GHz;8.19;0.17;612.0;86.2;
1;3;2.20GHz;7.21;0.16;576.0;87.2833333333;
1;4;2.20GHz;6.73;0.16;576.0;88.6166666667;
1;5;2.20GHz;6.4;0.14;504.0;87.46;
1;6;2.20GHz;6.15;0.11;396.0;88.3;
1;7;2.20GHz;6.09;0.11;396.0;83.9;
1;8;2.20GHz;5.89;0.12;432.0;83.825;
1;9;2.20GHz;5.76;0.12;432.0;83.65;
1;10;2.20GHz;5.67;0.11;396.0;83.675;
1;11;2.20GHz;6.04;0.12;432.0;88.95;
1;12;2.20GHz;5.95;0.12;432.0;86.6;
1;13;2.20GHz;5.82;0.12;432.0;87.15;
1;14;2.20GHz;5.74;0.12;432.0;91.05;
1;15;2.20GHz;5.69;0.12;432.0;91.8;
1;16;2.20GHz;5.68;0.12;432.0;83.775;
1;17;2.20GHz;5.65;0.12;432.0;83.775;
1;18;2.20GHz;5.55;0.12;432.0;91.45;
1;19;2.20GHz;5.5;0.11;396.0;83.8;
1;20;2.20GHz;5.46;0.12;432.0;85.275;
