#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.20GHz;523.96;12.73;45828.0;87.5527724665;
1;2;2.20GHz;273.82;7.32;26352.0;96.3245421245;
1;3;2.20GHz;210.22;5.94;21384.0;101.988516746;
1;4;2.20GHz;159.95;4.83;17388.0;109.570253165;
1;5;2.20GHz;140.6;4.48;16128.0;115.183453237;
1;6;2.20GHz;137.81;4.55;16380.0;119.099270073;
1;7;2.20GHz;130.62;4.46;16056.0;123.759689922;
1;8;2.20GHz;130.27;4.55;16380.0;126.240310078;
1;9;2.20GHz;132.86;4.78;17208.0;129.718181818;
1;10;2.20GHz;137.57;5.08;18288.0;133.614705882;
1;11;2.20GHz;166.24;5.61;20196.0;121.797575758;
1;12;2.20GHz;159.91;5.49;19764.0;123.696855346;
1;13;2.20GHz;156.83;5.45;19620.0;126.149677419;
1;14;2.20GHz;155.36;5.5;19800.0;127.718831169;
1;15;2.20GHz;154.04;5.48;19728.0;129.080921053;
1;16;2.20GHz;154.41;5.53;19908.0;130.120394737;
1;17;2.20GHz;156.11;5.67;20412.0;130.913548387;
1;18;2.20GHz;156.64;5.69;20484.0;131.502580645;
1;19;2.20GHz;157.04;5.75;20700.0;132.812258065;
1;20;2.20GHz;158.69;5.87;21132.0;133.907006369;
